"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"VI210623.100","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",6,3,215294.117647059,116390.694759928,98903.4228871309,3572500,2337146.8483679,1069624.53770703,165728.613925068,16.5935792349727,1.1768115942029
"VI210623.148","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",6,3,200294.117647059,104199.251955117,96094.8656919415,2882352.94117647,1876438.72911055,878188.084687346,127726.127378573,14.3906020558003,1.08433734939759
"VI210623.116","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",9,1,205588.235294118,113766.523463318,91821.7118307997,3350147.05882353,2292327.24415586,910820.330885516,146999.483782156,16.2954220314735,1.23899371069182
"VI210623.164","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",9,1,194117.647058824,102836.134453782,91281.512605042,3430882.35294118,2239008.26874405,1033034.27384541,158839.810351718,17.6742424242424,1.12658227848101
"VI210623.117","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",9,2,194117.647058824,111913.294292457,82204.3527663666,3321029.41176471,2216421.13900402,954176.360842845,150431.911917839,17.1083333333333,1.36140350877193
"VI210623.165","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",9,2,2e+05,107225.433526012,92774.5664739884,3391470.58823529,2189251.94473412,1040541.95586115,161676.687640023,16.9573529411765,1.15576323987539
"VI210623.118","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",9,3,197647.058823529,111086.303134392,86560.755689137,3247500,2122368.28100053,970735.763704098,154395.95529537,16.4308035714286,1.28333333333333
"VI210623.166","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",9,3,203235.294117647,107544.13856581,95691.1555518367,4606764.70588235,2995655.73770492,1411745.80742416,199363.160753278,22.6671490593343,1.1238670694864
"VI210623.119","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",12,1,193235.294117647,106135.206321335,87100.0877963125,3163676.47058824,2126967.12755536,900822.975381799,135886.367651074,16.3721461187215,1.21854304635762
"VI210623.167","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",12,1,196764.705882353,108928.478880539,87836.2270018139,3358235.29411765,2204884.52935131,987394.806843601,165955.957922737,17.067264573991,1.24013157894737
"VI210623.120","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",12,2,203823.529411765,112305.032494584,91518.4969171805,2243970.58823529,1569238.14476185,578545.965702486,96186.4777709608,11.0093795093795,1.22712933753943
"VI210623.168","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",12,2,199411.764705882,103751.918158568,95659.8465473146,3093235.29411765,2065793.14862836,884478.695236795,142963.450252491,15.5117994100295,1.08459214501511
"VI210623.121","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",12,3,207941.176470588,111190.767973856,96750.408496732,3037794.11764706,2025291.95931758,881624.748659051,130877.40967043,14.6089108910891,1.14925373134328
"VI210623.169","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",12,3,183823.529411765,88593.1295595161,95230.3998522486,1721764.70588235,1242589.02448414,426497.343701879,52678.3376963351,9.3664,0.93030303030303
"VI210623.077","Viruses","2020-09-18","2021-06-23","PE477",3,1,"0.22",24,1,17647.0588235294,2623.21144674086,15023.8473767886,9263529.41176471,5801864.0826969,3169286.09205392,292379.237013888,524.933333333333,0.174603174603175
"VI210623.122","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",24,1,217352.941176471,121971.996245307,95380.9449311639,3010147.05882353,2032359.72720989,841472.274206329,136315.057407314,13.8491204330176,1.27878787878788
"VI210623.170","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",24,1,176176.470588235,91404.15904496,84772.3115432752,2848823.52941176,1889379.64365151,819351.900052056,140091.985708201,16.1702838063439,1.07823129251701
"VI210623.078","Viruses","2020-09-18","2021-06-23","PE477",3,1,"0.22",24,2,8235.29411764706,2745.09803921569,5490.19607843137,9714705.88235294,5954569.30252907,3429165.31415829,330971.265665575,1179.64285714286,0.5
"VI210623.123","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",24,2,207352.941176471,115516.958872686,91835.982303785,3212500,2199648.1398476,880953.608247423,131898.251904975,15.4929078014184,1.25786163522013
"VI210623.171","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",24,2,195000,90422.2222222222,104577.777777778,2795000,1818568.28193833,838414.0969163,138017.621145374,14.3333333333333,0.864640883977901
"VI210623.079","Viruses","2020-09-18","2021-06-23","PE477",3,1,"0.22",24,3,15000,2307.69230769231,12692.3076923077,10167647.0588235,6213853.56172053,3588289.84466163,365503.652441369,677.843137254902,0.181818181818182
"VI210623.124","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",24,3,210882.352941176,115840.854149879,95041.4987912973,3199852.94117647,2199178.9877398,861011.545546944,139662.407889722,15.173640167364,1.21884498480243
"VI210623.172","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",24,3,174411.764705882,88503.1599416626,85908.6047642198,2796764.70588235,1841792.83180458,818383.692987792,136588.181089985,16.035413153457,1.03020134228188
"VI210506.031","Viruses","2021-04-21","2021-05-06","PE486",7,1,"0.22",0,1,4958.71866709642,550.968740788491,4407.74992630793,33194902.4372102,25671010.3140806,7079769.35656415,444122.766565494,6694.25,0.125
"VI210506.041","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",0,1,227605.186819726,106018.051189644,121587.135630082,2644360.69719584,2539240.15089193,79010.6913904142,26109.8549134989,11.6181917211329,0.871951219512195
"VI210506.068","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",0,1,225993.603252919,109057.915295254,116935.687957665,1907990.97513203,1813019.02520212,70891.3844263491,24080.5655035535,8.44267690619857,0.932631578947368
"VI210506.032","Viruses","2021-04-21","2021-05-06","PE486",7,1,"0.22",0,2,16115.8356680634,2685.9726113439,13429.8630567195,33534574.6659063,25938581.9601739,7162412.44151937,433580.264213047,2080.84615384615,0.2
"VI210506.042","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",0,2,235539.13668708,115915.902524911,119623.234162169,2028735.77467582,1943061.31540045,67742.5957061111,17931.8635692647,8.61315789473684,0.96900826446281
"VI210506.069","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",0,2,231944.065653435,109323.95451181,122620.111141625,2180720.50182233,2082134.9957366,75134.4503655636,23451.0557201608,9.40192410475681,0.891566265060241
"VI210506.033","Viruses","2021-04-21","2021-05-06","PE486",7,1,"0.22",0,3,-1239.67966677411,0,-1239.67966677411,32670517.9381648,25395330.4864624,6834916.04883517,440271.402867168,-26354,0
"VI210506.043","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",0,3,235043.26482037,114185.0560957,120858.20872467,2142538.36808569,2047913.11541641,71915.1920286477,22710.0606406256,9.11550632911392,0.944785276073619
"VI210506.070","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",0,3,232439.937520145,114250.138781088,118189.798739057,2373614.65797238,2268640.19743247,74490.6106451355,30483.8498947785,10.2117333333333,0.966666666666666
"VI210506.044","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",3,1,222894.404085984,108234.754977451,114659.649108533,2147249.15081943,2041690.54290733,84625.0443177124,20933.5635943815,9.63348164627364,0.943965517241379
"VI210506.071","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",3,1,228968.834453177,101189.452645436,127779.381807741,1993280.93620608,1898610.25923144,71850.2989926927,22820.3779819559,8.70546832701678,0.791907514450867
"VI210506.045","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",3,2,219175.365085662,105263.478609348,113911.886476314,2169811.32075472,2073949.93496159,75351.5079025064,20509.877890623,9.89988687782805,0.924078091106291
"VI210506.072","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",3,2,237894.528053951,117223.39063528,120671.137418671,1623360.52364069,1458588.3231511,139081.911165942,25690.2893236453,6.82386659718603,0.971428571428572
"VI210506.046","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",3,3,220662.980685791,104771.67280042,115891.307885371,2033446.55740957,1931364.57298554,84145.6704579805,17936.3139660432,9.21516853932584,0.904051172707889
"VI210506.073","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",3,3,238390.399920661,107374.188394016,131016.211526644,2003446.30947363,1916870.6650498,70752.419594409,15823.2248294205,8.40405616224649,0.819548872180451
"VI210506.047","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",6,1,223886.147819403,103046.935585752,120839.212233652,2081298.19254705,1986068.14512782,77249.5489554578,17980.4984637703,9.29623477297896,0.852760736196319
"VI210506.074","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",6,1,212852.998785114,100397.715033903,112455.28375121,2454689.70817941,2358873.40112045,75136.528557022,20679.7785019327,11.5323238206174,0.892778993435449
"VI210506.048","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",6,2,243721.022487789,114939.427440996,128781.595046793,2143282.17588575,2022602.87614234,99081.7128889631,21597.5868544481,8.793997965412,0.892514395393474
"VI210506.075","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",6,2,224753.923586145,101668.532794171,123085.390791974,2282622.17043116,2191673.76480181,67411.5066850728,23536.8989442797,10.1560948703806,0.826
"VI210506.049","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",6,3,215704.262018694,94880.2252178449,120824.036800849,2074603.92234647,1986285.13305415,71897.7078661092,16421.0814262101,9.61781609195402,0.785276073619632
"VI210506.076","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",6,3,220539.012719113,102146.975757179,118392.036961935,2668162.54679791,2573399.32398197,71881.3714530621,22881.8513628719,12.0983698707139,0.862785862785863
"VI210506.054","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",9,1,223638.211886049,117237.652927048,106400.558959001,2685270.12619939,2580299.42945298,81260.2104199215,23710.4863264927,12.0072062084257,1.10185185185185
"VI210506.081","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",9,1,241861.502987628,116369.652813619,125491.850174009,2474648.55081447,2376107.63228493,76516.7961853818,22024.1223441603,10.2316760635571,0.927308447937132
"VI210506.055","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",9,2,235787.072620435,115306.530811247,120480.541809188,2749981.404805,2632381.99876353,93387.7636211659,24211.6424203023,11.6629863301788,0.957055214723926
"VI210506.082","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",9,2,238142.463987306,115126.843356182,123015.620631124,2326382.86266829,2239885.95592118,64590.3794508426,21906.5272962648,9.76887038001041,0.935871743486974
"VI210506.056","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",9,3,229588.674286564,114301.657584727,115287.016701837,2340143.30696948,2240824.46321997,77450.4744835611,21868.3692659467,10.1927645788337,0.991452991452992
"VI210506.083","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",9,3,244588.798254531,116623.489490316,127965.308764215,2109190.98504946,2023033.05091216,63779.2499457928,22378.6841915062,8.62341611758743,0.911368015414258
"VI210506.057","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",12,1,226613.443086307,107641.385465996,118972.057620311,2352292.16770387,2252247.96487283,76799.3083236003,23244.8945074399,10.3801969365427,0.904761904761905
"VI210506.084","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",12,1,211365.383184985,95336.1343736471,116029.248811338,2148364.86251952,2046584.87216328,81603.3402856211,20176.6500706206,10.1642228739003,0.821656050955414
"VI210506.058","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",12,2,223638.211886049,106893.154139367,116745.057746682,2364441.02843825,2267319.06545352,71815.5360098399,25306.4269748959,10.5726164079823,0.915611814345992
"VI210506.085","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",12,2,202439.689584211,101219.844792106,101219.844792106,2076215.50591327,1977007.61906163,81332.5919234213,17875.2949282245,10.2559706062462,1
"VI210506.067","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",12,3,236654.848387177,106383.86524793,130270.983139247,2393697.46857412,2318012.86910785,54125.9559819385,21558.6434843314,10.1147197485595,0.816635160680529
"VI210506.086","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",12,3,219051.397118984,96835.9944519245,122215.40266706,2080430.4167803,1981202.66889649,79560.9870419796,19666.7608418377,9.49745331069609,0.792338709677419
"VI210506.034","Viruses","2021-04-21","2021-05-06","PE486",7,1,"0.22",24,1,3719.03900032232,464.87987504029,3254.15912528203,27773783.2544071,20986894.3318633,6317809.03009081,469079.892452974,7468,0.142857142857143
"VI210506.060","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",24,1,243968.958421144,120505.879462565,123463.078958579,2750973.14853842,2613078.60178016,113682.293564915,24212.253193339,11.2759146341463,0.976047904191617
"VI210506.087","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",24,1,218307.58931892,98065.9374141424,120241.651904778,2287952.79299829,2190761.02739783,73513.9572755216,23677.8083249379,10.4804088586031,0.815573770491803
"VI210506.035","Viruses","2021-04-21","2021-05-06","PE486",7,1,"0.22",24,2,3719.03900032232,464.87987504029,3254.15912528203,27729154.7864032,21162531.7654049,6099941.46409032,466681.556907936,7456,0.142857142857143
"VI210506.061","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",24,2,232563.905486822,114064.712119066,118499.193367756,2144769.79148588,2040301.29979727,80047.2858393254,24421.2058492857,9.22228144989339,0.962577962577962
"VI210506.088","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",24,2,223762.179852726,111634.655807582,112127.524045144,2448119.4059455,2351936.80511888,72363.7963766323,23818.8044499887,10.9407202216066,0.995604395604396
"VI210506.036","Viruses","2021-04-21","2021-05-06","PE486",7,1,"0.22",24,3,11157.1170009669,1593.87385728099,9563.24314368596,26793196.6379887,20423693.5851541,5915381.07591959,454121.976915063,2401.44444444444,0.166666666666667
"VI210506.062","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VP",24,3,243225.15062108,116560.786467853,126664.364153227,2357994.69417103,2252916.34192232,84792.0760011234,20286.2762475806,9.69469928644241,0.92023346303502
"VI210506.089","Viruses","2021-04-21","2021-05-06","PE486",7,1,"VPC",24,3,236654.848387177,108713.320977859,127941.527409317,2699774.37830065,2604423.66128944,69740.9321065213,25609.7849046898,11.4080670508119,0.84971098265896
