Location,Station_Number,Depth,Time_Range,Population,Sample_Type,VP,abs_VP,VP_SE,VP_R_Squared,VP_Method
CR,4,1,T0_T6,c_Viruses,VP,291627.866,1749767.196,NA,NA,VPCL_AR_DIFF
CR,4,1,T0_T9,c_Viruses,VP,230056.4374,2070507.937,NA,NA,VPCL_AR_DIFF
CR,4,1,T0_T12,c_Viruses,VP,266878.7478,3202544.974,NA,NA,VPCL_AR_DIFF
CR,4,1,T0_T24,c_Viruses,VP,266878.7478,3202544.974,NA,NA,VPCL_AR_DIFF
CR,5,1,T0_T3,c_Viruses,VP,150679.0123,452037.037,NA,NA,VPCL_AR_DIFF
CR,5,1,T0_T6,c_Viruses,VP,242330.2469,1453981.481,NA,NA,VPCL_AR_DIFF
CR,5,1,T0_T12,c_Viruses,VP,198549.3827,2382592.593,NA,NA,VPCL_AR_DIFF
CR,5,1,T0_T24,c_Viruses,VP,155131.1728,3723148.148,NA,NA,VPCL_AR_DIFF
CR,1,1,T0_T3,c_Viruses,VP,190507.9365,571523.8095,25410.96518,NA,VPCL_AR_DIFF_SE
CR,1,1,T0_T6,c_Viruses,VP,190507.9365,571523.8095,25410.96518,NA,VPCL_AR_DIFF_SE
CR,1,1,T0_T9,c_Viruses,VP,221646.8521,1329881.113,77117.31997,NA,VPCL_AR_DIFF_SE
CR,1,1,T0_T12,c_Viruses,VP,179804.0662,1586124.985,47613.24411,NA,VPCL_AR_DIFF_SE
CR,1,1,T0_T24,c_Viruses,VP,152366.7324,2627583.319,25480.34752,NA,VPCL_AR_DIFF_SE
CR,2,1,T0_T3,c_Viruses,VP,0,0,0,NA,VPCL_AR_DIFF_SE
CR,2,1,T0_T6,c_Viruses,VP,0,0,0,NA,VPCL_AR_DIFF_SE
CR,2,1,T0_T9,c_Viruses,VP,0,0,0,NA,VPCL_AR_DIFF_SE
CR,2,1,T0_T12,c_Viruses,VP,0,0,0,NA,VPCL_AR_DIFF_SE
CR,2,1,T0_T24,c_Viruses,VP,0,0,0,NA,VPCL_AR_DIFF_SE
CR,3,1,T0_T3,c_Viruses,VP,182682.0587,548046.176,39985.27893,NA,VPCL_AR_DIFF_SE
CR,3,1,T0_T6,c_Viruses,VP,190721.9817,1144331.89,28710.25938,NA,VPCL_AR_DIFF_SE
CR,3,1,T0_T9,c_Viruses,VP,190026.2947,1710236.652,14575.13591,NA,VPCL_AR_DIFF_SE
CR,3,1,T0_T12,c_Viruses,VP,278196.425,3338357.1,15423.56275,NA,VPCL_AR_DIFF_SE
CR,3,1,T0_T24,c_Viruses,VP,278196.425,3338357.1,15423.56275,NA,VPCL_AR_DIFF_SE
CR,4,1,T0_T3,c_Viruses,VP,284571.4286,853714.2857,204021.5198,NA,VPCL_AR_DIFF_SE
CR,4,1,T0_T6,c_Viruses,VP,291627.866,1749767.196,110848.2344,NA,VPCL_AR_DIFF_SE
CR,4,1,T0_T9,c_Viruses,VP,291627.866,1749767.196,110848.2344,NA,VPCL_AR_DIFF_SE
CR,4,1,T0_T12,c_Viruses,VP,334486.7725,2881804.233,204934.4349,NA,VPCL_AR_DIFF_SE
CR,4,1,T0_T24,c_Viruses,VP,334486.7725,2881804.233,204934.4349,NA,VPCL_AR_DIFF_SE
CR,5,1,T0_T3,c_Viruses,VP,150679.0123,452037.037,59505.94488,NA,VPCL_AR_DIFF_SE
CR,5,1,T0_T6,c_Viruses,VP,242330.2469,1453981.481,60988.9885,NA,VPCL_AR_DIFF_SE
CR,5,1,T0_T12,c_Viruses,VP,198549.3827,2382592.593,23474.76939,NA,VPCL_AR_DIFF_SE
CR,5,1,T0_T24,c_Viruses,VP,155131.1728,3723148.148,17163.31362,NA,VPCL_AR_DIFF_SE
CR,1,1,T0_T3,c_Viruses,VP,190507.9365,571523.8095,NA,NA,VPCL_AR_DIFF_LMER
CR,1,1,T0_T6,c_Viruses,VP,190507.9365,571523.8095,NA,NA,VPCL_AR_DIFF_LMER
CR,1,1,T0_T9,c_Viruses,VP,221646.8521,1329881.113,NA,NA,VPCL_AR_DIFF_LMER
CR,1,1,T0_T12,c_Viruses,VP,179804.0662,1586124.985,NA,NA,VPCL_AR_DIFF_LMER
CR,1,1,T0_T24,c_Viruses,VP,152366.7324,2627583.319,NA,NA,VPCL_AR_DIFF_LMER
CR,2,1,T0_T3,c_Viruses,VP,62388.75918,187166.2775,NA,NA,VPCL_AR_DIFF_LMER
