"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","Replicate"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",1,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",200503.973638302,2205543.71002132,NA,NA,"VPCL_SR","3"
"NJ2020",1,1,"T0_T20","c_Viruses","VP",200503.973638302,2205543.71002132,NA,NA,"VPCL_SR","3"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",200503.973638302,2205543.71002132,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",3282395.47603597,37747547.9744137,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",4871068.3038012,70630490.4051174,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",5821855.01066097,104793390.191897,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1757448.78094003,20210660.9808103,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",1925373.13432836,27917910.4477612,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2575870.64676617,46365671.6417911,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",2454621.30342078,28228144.989339,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",3634718.03543857,52703411.5138593,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4586105.18834398,82549893.3901917,NA,NA,"VPCL_SR","3"
"NJ2020",3,1,"T0_T3","c_Viruses","VP",753944.562899766,2261833.6886993,NA,NA,"VPCL_SR","1"
"NJ2020",3,1,"T0_T6","c_Viruses","VP",753944.562899766,2261833.6886993,NA,NA,"VPCL_SR","1"
"NJ2020",3,1,"T0_T9","c_Viruses","VP",505756.929637517,3034541.5778251,NA,NA,"VPCL_SR","1"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",505756.929637517,3034541.5778251,NA,NA,"VPCL_SR","1"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",762736.318407955,18354882.7292111,NA,NA,"VPCL_SR","1"
"NJ2020",3,1,"T0_T3","c_Viruses","VP",605373.134328333,1816119.402985,NA,NA,"VPCL_SR","2"
"NJ2020",3,1,"T0_T6","c_Viruses","VP",605373.134328333,1816119.402985,NA,NA,"VPCL_SR","2"
"NJ2020",3,1,"T0_T9","c_Viruses","VP",605373.134328333,1816119.402985,NA,NA,"VPCL_SR","2"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",605373.134328333,1816119.402985,NA,NA,"VPCL_SR","2"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",876759.061833675,15593859.2750532,NA,NA,"VPCL_SR","2"
"NJ2020",3,1,"T0_T3","c_Viruses","VP",192409.381663099,577228.144989297,NA,NA,"VPCL_SR","3"
"NJ2020",3,1,"T0_T6","c_Viruses","VP",192409.381663099,577228.144989297,NA,NA,"VPCL_SR","3"
"NJ2020",3,1,"T0_T9","c_Viruses","VP",355223.880596999,2131343.283582,NA,NA,"VPCL_SR","3"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",355223.880596999,2131343.283582,NA,NA,"VPCL_SR","3"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",532530.206112286,12777057.5692963,NA,NA,"VPCL_SR","3"
"NJ2020",4,1,"T0_T3","c_Viruses","VP",121108.742004267,363326.2260128,NA,NA,"VPCL_SR","1"
"NJ2020",4,1,"T0_T6","c_Viruses","VP",3026012.79317697,18156076.7590618,NA,NA,"VPCL_SR","1"
"NJ2020",4,1,"T0_T9","c_Viruses","VP",3026012.79317697,18156076.7590618,NA,NA,"VPCL_SR","1"
"NJ2020",4,1,"T0_T12","c_Viruses","VP",1932835.82089552,20675053.304904,NA,NA,"VPCL_SR","1"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",1633944.56289978,21784221.7484008,NA,NA,"VPCL_SR","1"
"NJ2020",4,1,"T0_T3","c_Viruses","VP",672921.108742001,2018763.326226,NA,NA,"VPCL_SR","2"
"NJ2020",4,1,"T0_T6","c_Viruses","VP",3109381.663113,18656289.978678,NA,NA,"VPCL_SR","2"
"NJ2020",4,1,"T0_T9","c_Viruses","VP",3109381.663113,18656289.978678,NA,NA,"VPCL_SR","2"
"NJ2020",4,1,"T0_T12","c_Viruses","VP",1650426.43923242,19230703.6247335,NA,NA,"VPCL_SR","2"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",1872985.07462686,28205117.2707889,NA,NA,"VPCL_SR","2"
"NJ2020",4,1,"T0_T3","c_Viruses","VP",475906.183368867,1427718.5501066,NA,NA,"VPCL_SR","3"
"NJ2020",4,1,"T0_T6","c_Viruses","VP",3083582.08955225,18501492.5373135,NA,NA,"VPCL_SR","3"
